frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,sctp.srcport,sctp.dstport,s1ap.ENB_UE_S1AP_ID,s1ap.MME_UE_S1AP_ID,s1ap.procedureCode
"120","1758134424.183402000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","9998",,"12"
"121","1758134424.183403000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","1528333","370138189","23"
"122","1758134424.183404000","18.8.23.13","10.3.7.39",,,"36412","36412","25129","1528333","23"
"123","1758134424.183424000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","9998","369381616","11"
"124","1758134424.183425000",,,"2600:300:300a:2::8","2600:300:20e2:a315::1:db85","36412","59121","9998","369381616","23"
"125","1758134424.562367000","18.8.23.13","10.3.7.39",,,"36412","36412","25130","9998","11"
"126","1758134424.562375000","18.8.23.13","10.3.7.39",,,"36412","36412","25130","9998","23"
"127","1758134424.562375000","10.3.7.39","18.8.23.13",,,"36412","36412","25129","1528333","23"
"128","1758134424.562376000","10.3.7.39","18.8.23.13",,,"36412","36412","25130","9998","23"
"129","1758134424.562377000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","1528333","370138189","23"
"130","1758134424.562378000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::8","59121","36412","9998","369381616","23"
"131","1758134425.176014000","10.3.7.70","18.8.23.13",,,"36412","36412","741",,"12"
"132","1758134425.176015000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:2","47754","36412","59921",,"12"
"133","1758134425.303492000","10.3.7.70","18.8.23.13",,,"36412","36412","741","59921","13"
"134","1758134425.303492000","10.3.7.70","18.8.23.13",,,"36412","36412","741","59921","9"
"135","1758134425.303507000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:2","47754","36412","59921","2624410","13"
"136","1758134425.511044000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:2","47754","36412","59921","2624410","9"
"137","1758134425.539832000","10.3.7.27","18.8.23.13",,,"36412","36412","36360",,"12"
"138","1758134425.625630000","7.193.167.162","10.168.78.130",,,"37163","36412","22284",,"12"
"139","1758134425.625636000","10.168.78.130","7.193.167.162",,,"36412","37163","33299","1100484383","23"
"140","1758134425.625637000","18.8.23.13","10.3.7.27",,,"36412","36412","36359","33299","23"
"141","1758134425.625637000","10.3.7.27","18.8.23.13",,,"36412","36412","36359","33299","23"
"142","1758134425.625638000","7.193.167.162","10.168.78.130",,,"37163","36412","33299","1100484383","23"
"143","1758134425.625639000","10.168.78.130","7.193.167.162",,,"36412","37163","22284","1100672184","11"
"144","1758134425.625654000","10.168.78.130","7.193.167.162",,,"36412","37163","22284","1100672184","23"
"145","1758134425.625655000","18.8.23.13","10.3.7.27",,,"36412","36412","36360","22284","11"
"146","1758134425.625655000","18.8.23.13","10.3.7.27",,,"36412","36412","36360","22284","23"
"147","1758134425.625656000","10.3.7.27","18.8.23.13",,,"36412","36412","36360","22284","23"
"148","1758134425.625656000","7.193.167.162","10.168.78.130",,,"37163","36412","22284","1100672184","23"
"149","1758134425.625657000","10.3.7.20","18.8.23.13",,,"36412","36412","14548",,"12"
"150","1758134425.625658000",,,"2600:300:20e2:a315::1:db85","2600:300:3008:2::6","35604","36412","1506320",,"12"
"151","1758134425.749258000","10.3.7.70","18.8.23.13",,,"36412","36412","742",,"12"
"152","1758134425.749258000","7.193.167.162","10.165.92.130",,,"52371","36412","32530",,"12"
"153","1758134425.750396000","10.3.7.20","18.8.23.13",,,"36412","36412","14548","1506320","9"
"154","1758134425.757121000",,,"2600:300:20e2:a315::1:db85","2600:300:3008:2::6","35604","36412","1506320","145708410","9"
"155","1758134425.817704000","10.3.7.45","18.8.23.13",,,"36412","36412","17085",,"12"
"156","1758134425.817705000","7.193.167.162","10.168.71.130",,,"36837","36412","55057",,"12"
"157","1758134425.900328000","10.3.7.70","18.8.23.13",,,"36412","36412","742","32530","9"
"158","1758134425.900330000","7.193.167.162","10.165.92.130",,,"52371","36412","32530","1103709063","9"
"159","1758134425.900331000","10.3.7.50","18.8.23.13",,,"36412","36412","13696",,"12"
"160","1758134425.923363000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","7948",,"12"
"161","1758134425.923366000","10.3.7.45","18.8.23.13",,,"36412","36412","17085","55057","9"
"162","1758134425.923367000","7.193.167.162","10.168.71.130",,,"36837","36412","55057","1103446106","9"
"163","1758134425.923368000",,,"2600:300:300a:2::6","2600:300:20e2:a315::1:db85","36412","42968","59411","121448855","23"
